glob - norm : (0.00, 0.00, 0.00)
glob - orig : (70.00, 0.00, -10.00)
(-0.47, 5.33, 0.00)
(-1.30, 5.32, 0.00)
(-2.12, 5.31, 0.00)
(-2.94, 5.30, 0.00)
(-3.75, 5.29, 0.00)
(-4.57, 5.28, 0.00)
(-5.38, 5.28, -0.00)
(-6.18, 5.27, 0.00)
(-6.98, 5.26, 0.00)
(-7.78, 5.25, 0.00)
(-8.58, 5.24, 0.00)
(-9.37, 5.23, 0.00)
(-10.16, 5.22, 0.00)
(-10.94, 5.22, 0.00)
(-11.72, 5.21, 0.00)
(-12.50, 5.20, 0.00)
(-13.28, 5.19, 0.00)
(-14.05, 5.18, 0.00)
(-14.81, 5.18, 0.00)
(-15.58, 5.17, 0.00)
(-16.34, 5.16, 0.00)
(-17.10, 5.15, 0.00)
(8.88, 5.07, 0.00)
(8.01, 5.06, 0.00)
(7.15, 5.06, 0.00)
(6.29, 5.05, 0.00)
(5.43, 5.04, 0.00)
(4.57, 5.03, 0.00)
(3.72, 5.02, 0.00)
(2.88, 5.01, 0.00)
(2.04, 5.01, 0.00)
(1.20, 5.00, 0.00)
(0.36, 4.99, -0.00)
(-0.47, 4.98, 0.00)
(-1.30, 4.97, 0.00)
(-2.12, 4.97, 0.00)
(-2.94, 4.96, 0.00)
(-3.75, 4.95, 0.00)
(-4.57, 4.94, 0.00)
(-5.38, 4.93, -0.00)
(-6.18, 4.93, 0.00)
(-6.98, 4.92, 0.00)
(-7.78, 4.91, 0.00)
(-8.58, 4.90, 0.00)
(-9.37, 4.90, 0.00)
(-10.16, 4.89, 0.00)
(-10.94, 4.88, 0.00)
(-11.72, 4.87, 0.00)
(-12.50, 4.87, 0.00)
(-13.28, 4.86, 0.00)
(-14.05, 4.85, 0.00)
(-14.81, 4.84, 0.00)
(-15.58, 4.84, 0.00)
(-16.34, 4.83, 0.00)
(-17.10, 4.82, 0.00)
(-17.85, 4.81, 0.00)
(-18.61, 4.81, 0.00)
(-19.35, 4.80, 0.00)
(-20.10, 4.79, 0.00)
(-20.84, 4.79, -0.00)
(-21.58, 4.78, 0.00)
(-22.32, 4.77, 0.00)
(-23.05, 4.76, 0.00)
(-23.78, 4.76, 0.00)
(-24.51, 4.75, 0.00)
(14.18, 4.76, 0.00)
(13.29, 4.76, 0.00)
(12.40, 4.75, 0.00)
(11.51, 4.74, 0.00)
(10.63, 4.73, 0.00)
(9.76, 4.73, 0.00)
(8.88, 4.72, 0.00)
(8.01, 4.71, 0.00)
(7.15, 4.70, 0.00)
(6.29, 4.70, 0.00)
(5.43, 4.69, 0.00)
(4.57, 4.68, 0.00)
(3.72, 4.67, 0.00)
(2.88, 4.67, 0.00)
(2.04, 4.66, 0.00)
(1.20, 4.65, 0.00)
(0.36, 4.64, -0.00)
(-0.47, 4.64, 0.00)
(-1.30, 4.63, 0.00)
(-2.12, 4.62, 0.00)
(-2.94, 4.62, 0.00)
(-3.75, 4.61, 0.00)
(-4.57, 4.60, 0.00)
(-5.38, 4.59, -0.00)
(-6.18, 4.59, 0.00)
(-6.98, 4.58, 0.00)
(-7.78, 4.57, 0.00)
(-8.58, 4.57, 0.00)
(-9.37, 4.56, 0.00)
(-10.16, 4.55, 0.00)
(-10.94, 4.55, 0.00)
(-11.72, 4.54, 0.00)
(-12.50, 4.53, 0.00)
(-13.28, 4.53, 0.00)
(-14.05, 4.52, 0.00)
(-14.81, 4.51, 0.00)
(-15.58, 4.51, 0.00)
(-16.34, 4.50, 0.00)
(-17.10, 4.49, 0.00)
(-17.85, 4.49, 0.00)
(-18.61, 4.48, 0.00)
(-19.35, 4.47, 0.00)
(-20.10, 4.47, 0.00)
(-20.84, 4.46, -0.00)
(-21.58, 4.45, 0.00)
(-22.32, 4.45, 0.00)
(-23.05, 4.44, 0.00)
(-23.78, 4.43, 0.00)
(-24.51, 4.43, 0.00)
(-25.23, 4.42, 0.00)
(-25.95, 4.42, 0.00)
(-26.67, 4.41, 0.00)
(-27.38, 4.40, 0.00)
(-28.09, 4.40, 0.00)
(-28.80, 4.39, 0.00)
(-29.51, 4.38, 0.00)
(37.79, 4.96, 0.00)
(35.22, 4.95, 0.00)
(32.63, 4.93, 0.00)
(30.03, 4.92, 0.00)
(27.42, 4.90, 0.00)
(24.78, 4.89, 0.00)
(22.14, 4.87, 0.00)
(19.47, 4.86, 0.00)
(16.79, 4.84, 0.00)
(14.10, 4.82, 0.00)
(11.38, 4.81, 0.00)
(8.65, 4.79, 0.00)
(5.91, 4.78, 0.00)
(3.14, 4.76, 0.00)
(19.63, 4.45, 0.00)
(18.71, 4.44, 0.00)
(17.80, 4.43, 0.00)
(16.89, 4.43, 0.00)
(15.98, 4.42, 0.00)
(15.08, 4.41, 0.00)
(14.18, 4.41, 0.00)
(13.29, 4.40, 0.00)
(12.40, 4.39, 0.00)
(11.51, 4.39, 0.00)
(10.63, 4.38, 0.00)
(9.76, 4.37, 0.00)
(8.88, 4.36, 0.00)
(8.01, 4.36, 0.00)
(7.15, 4.35, 0.00)
(6.29, 4.34, 0.00)
(5.43, 4.34, 0.00)
(4.57, 4.33, 0.00)
(3.72, 4.32, 0.00)
(2.88, 4.32, 0.00)
(2.04, 4.31, 0.00)
(1.20, 4.30, 0.00)
(0.36, 4.30, -0.00)
(-0.47, 4.29, 0.00)
(-1.30, 4.29, 0.00)
(-2.12, 4.28, 0.00)
(-2.94, 4.27, 0.00)
(-3.75, 4.27, 0.00)
(-4.57, 4.26, 0.00)
(-5.38, 4.25, -0.00)
(-6.18, 4.25, 0.00)
(-6.98, 4.24, 0.00)
(-7.78, 4.23, 0.00)
(-8.58, 4.23, 0.00)
(-9.37, 4.22, 0.00)
(-10.16, 4.22, 0.00)
(-10.94, 4.21, 0.00)
(-11.72, 4.20, 0.00)
(-12.50, 4.20, 0.00)
(-13.28, 4.19, 0.00)
(-14.05, 4.19, 0.00)
(-14.81, 4.18, 0.00)
(-15.58, 4.17, 0.00)
(-16.34, 4.17, 0.00)
(-17.10, 4.16, 0.00)
(-17.85, 4.16, 0.00)
(-18.61, 4.15, 0.00)
(-19.35, 4.14, 0.00)
(-20.10, 4.14, 0.00)
(-20.84, 4.13, -0.00)
(-21.58, 4.13, 0.00)
(-22.32, 4.12, 0.00)
(-23.05, 4.12, 0.00)
(-23.78, 4.11, 0.00)
(-24.51, 4.10, 0.00)
(-25.23, 4.10, 0.00)
(-25.95, 4.09, 0.00)
(-26.67, 4.09, 0.00)
(-27.38, 4.08, 0.00)
(-28.09, 4.08, 0.00)
(-28.80, 4.07, 0.00)
(-29.51, 4.07, 0.00)
(-30.21, 4.06, 0.00)
(-30.91, 4.06, 0.00)
(-31.61, 4.05, 0.00)
(-32.30, 4.04, 0.00)
(-32.99, 4.04, 0.00)
(-33.68, 4.03, 0.00)
(52.89, 4.34, 0.00)
(50.41, 4.33, 0.00)
(47.92, 4.31, 0.00)
(45.41, 4.29, 0.00)
(42.88, 4.28, 0.00)
(40.34, 4.26, 0.00)
(37.79, 4.24, 0.00)
(35.22, 4.23, 0.00)
(32.63, 4.21, 0.00)
(30.03, 4.19, 0.00)
(27.42, 4.17, 0.00)
(24.78, 4.16, 0.00)
(22.14, 4.14, 0.00)
(19.47, 4.12, 0.00)
(16.79, 4.10, 0.00)
(14.10, 4.09, 0.00)
(11.38, 4.07, 0.00)
(8.65, 4.05, 0.00)
(5.91, 4.03, 0.00)
(3.14, 4.01, 0.00)
(0.36, 3.99, -0.00)
(-2.44, 3.98, 0.00)
(-5.25, 3.96, 0.00)
(-8.08, 3.94, 0.00)
(-10.93, 3.92, 0.00)
(23.35, 4.11, 0.00)
(22.42, 4.10, 0.00)
(21.48, 4.10, 0.00)
(20.56, 4.09, 0.00)
(19.63, 4.08, 0.00)
(18.71, 4.08, 0.00)
(17.80, 4.07, 0.00)
(16.89, 4.07, 0.00)
(15.98, 4.06, 0.00)
(15.08, 4.05, 0.00)
(14.18, 4.05, 0.00)
(13.29, 4.04, 0.00)
(12.40, 4.03, 0.00)
(11.51, 4.03, 0.00)
(10.63, 4.02, 0.00)
(9.76, 4.02, 0.00)
(8.88, 4.01, 0.00)
(8.01, 4.00, 0.00)
(7.15, 4.00, 0.00)
(6.29, 3.99, 0.00)
(5.43, 3.99, 0.00)
(4.57, 3.98, 0.00)
(3.72, 3.98, 0.00)
(2.88, 3.97, 0.00)
(2.04, 3.96, 0.00)
(1.20, 3.96, 0.00)
(0.36, 3.95, -0.00)
(-0.47, 3.95, 0.00)
(-1.30, 3.94, 0.00)
(-2.12, 3.94, 0.00)
(-2.94, 3.93, 0.00)
(-3.75, 3.92, 0.00)
(-4.57, 3.92, 0.00)
(-5.38, 3.91, -0.00)
(-6.18, 3.91, 0.00)
(-6.98, 3.90, 0.00)
(-7.78, 3.90, 0.00)
(-8.58, 3.89, 0.00)
(-9.37, 3.89, 0.00)
(-10.16, 3.88, 0.00)
(-10.94, 3.88, 0.00)
(-11.72, 3.87, 0.00)
(-12.50, 3.86, 0.00)
(-13.28, 3.86, 0.00)
(-14.05, 3.85, 0.00)
(-14.81, 3.85, 0.00)
(-15.58, 3.84, 0.00)
(-16.34, 3.84, 0.00)
(-17.10, 3.83, 0.00)
(-17.85, 3.83, 0.00)
(-18.61, 3.82, 0.00)
(-19.35, 3.82, 0.00)
(-20.10, 3.81, 0.00)
(-20.84, 3.81, -0.00)
(-21.58, 3.80, 0.00)
(-22.32, 3.80, 0.00)
(-23.05, 3.79, 0.00)
(-23.78, 3.79, 0.00)
(-24.51, 3.78, 0.00)
(-25.23, 3.78, 0.00)
(-25.95, 3.77, 0.00)
(-26.67, 3.77, 0.00)
(-27.38, 3.76, 0.00)
(-28.09, 3.76, 0.00)
(-28.80, 3.75, 0.00)
(-29.51, 3.75, 0.00)
